iter	Logloss
0	0.6692801177
1	0.6449712047
2	0.6230240731
3	0.5994569219
4	0.5792472218
5	0.5600468942
6	0.543838339
7	0.5308907964
8	0.5161428306
9	0.5039044982
10	0.4934598454
11	0.4826070296
12	0.4719051081
13	0.4633882482
14	0.4553457722
15	0.4457277667
16	0.438790486
17	0.4309824311
18	0.4241308008
19	0.4179576449
20	0.4091799282
21	0.404062019
22	0.3994210838
23	0.3950557559
24	0.3913574481
25	0.3876330597
26	0.3835261548
27	0.3793428287
28	0.3753731881
29	0.3716865548
30	0.3683295979
31	0.3651197679
32	0.3622575005
33	0.3601409247
34	0.35474085
35	0.3520691607
36	0.3494917033
37	0.3473301564
38	0.3449173001
39	0.3431761572
40	0.3411830709
41	0.3390440331
42	0.3370205973
43	0.3347027266
44	0.3328538196
45	0.3303928323
46	0.3285273106
47	0.3268469168
48	0.3256228103
49	0.3243261355
50	0.3232929461
51	0.3216431867
52	0.320291461
53	0.3190401634
54	0.3141027077
55	0.3128422811
56	0.3114503499
57	0.3102956987
58	0.3086290319
59	0.3076921931
60	0.3064078019
61	0.3053354072
62	0.304200065
63	0.3031571553
64	0.3023044388
65	0.3015229185
66	0.3006394506
67	0.2998396552
68	0.2990215442
69	0.2983852397
70	0.2975092829
71	0.296618598
72	0.295946299
73	0.2951026835
74	0.2943193845
75	0.2934615183
76	0.2925378643
77	0.2917221292
78	0.290910502
79	0.290096619
80	0.2895769804
81	0.2889121272
82	0.2881538211
83	0.2875192196
84	0.2869414952
85	0.2860653112
86	0.2854694757
87	0.2847627807
88	0.2841638182
89	0.2834988645
90	0.2828045331
91	0.2822681734
92	0.2816094382
93	0.2811936982
94	0.280837368
95	0.2804563912
96	0.2799043739
97	0.2794114015
98	0.2788113463
99	0.2783362689
100	0.2780499711
101	0.2774041688
102	0.2768890647
103	0.2765175943
104	0.2760959014
105	0.2756029671
106	0.2751234815
107	0.2745889488
108	0.2737734749
109	0.2732814607
110	0.272593974
111	0.2721615933
112	0.2717991829
113	0.2714703745
114	0.2709990222
115	0.2705905648
116	0.2702503724
117	0.2699615716
118	0.269490116
119	0.2687863205
120	0.2683920014
121	0.2680479279
122	0.2675927146
123	0.2672152213
124	0.2669137929
125	0.2665736703
126	0.2661376289
127	0.2658502433
128	0.2654947594
129	0.2651723731
130	0.2647856697
131	0.2644077959
132	0.2640377441
133	0.2636811905
134	0.2633738023
135	0.2630936734
136	0.2627252929
137	0.2624856975
138	0.2621717349
139	0.2618434442
140	0.2614344392
141	0.2611536921
142	0.260931925
143	0.2606295089
144	0.2603929824
145	0.2601214169
146	0.259895566
147	0.2596787031
148	0.2594522124
149	0.259141382
150	0.2588724475
151	0.2586201053
152	0.2582836234
153	0.2579889272
154	0.2577370189
155	0.2574499163
156	0.2571375619
157	0.2566621512
158	0.2563456173
159	0.2560389158
160	0.255807571
161	0.2555788528
162	0.2550525467
163	0.2547920552
164	0.2544443376
165	0.2542261263
166	0.2539368176
167	0.2537537699
